order_id,order_purchase_timestamp,shipping_limit_date,order_delivered_customer_date,total_delivery_time_days,price,delivery_status,geolocation_lat,geolocation_lng,customer_zip_code_prefix
fac0d9ee548e947e642b27cea75c2dfe,2017-10-10 15:15:12,2017-10-17 16:49:13,2017-10-13 23:09:54,3.3296527777777776,59.99,In Time,-23.153402376651716,-46.96123957354724,13212
a28ce0c52557b5cb81dac197086d476b,2017-09-26 17:41:21,2017-10-02 17:56:21,2017-10-02 22:38:08,6.206099537037037,212.0,Late,-22.903407816550235,-43.101581999019054,24220
52463ab7b28436f48c3ae2a48bc87ef5,2017-09-01 17:56:59,2017-09-08 19:55:15,2017-09-16 14:07:42,14.840775462962963,39.9,Late,-23.271510895890852,-51.05181207180866,86200
3233701bc7c9824c3d7d3e474cc7addc,2017-11-24 22:06:20,2017-11-30 00:31:27,2017-12-22 19:24:19,27.887488425925927,49.0,Late,-22.926706638351927,-43.191993163483126,20241
e82ad91cbeae230bec5af4afbb1ef6e3,2018-08-13 14:51:14,2018-08-15 15:04:41,2018-08-24 00:09:46,10.38787037037037,70.0,Late,-6.846231035460622,-35.49390229063336,58200
4c892e84219a67197b564a1458748023,2017-10-10 16:24:23,2017-10-17 17:46:34,2017-10-17 20:32:40,7.172418981481481,119.99,Late,-20.796666047539585,-49.41041670699415,15040
5d438c27071139d7c8b5d47e9faed993,2018-02-01 09:05:50,2018-02-07 09:31:05,2018-02-17 14:22:15,16.219733796296296,10.99,Late,-21.789748845123476,-46.53381146834837,37704
5b18e0708f150becd4334b9e3d79fbd4,2017-10-21 14:10:35,2017-11-06 06:36:55,2017-11-06 14:56:59,16.032222222222224,114.99,Late,-22.916899499567304,-43.25598016763806,20560
761635b00759928f8a05278ed264f8bb,2018-07-01 21:33:29,2018-07-05 21:50:02,2018-07-05 14:52:44,3.721701388888889,319.0,In Time,-23.184981712187643,-46.96774105340773,13212
b78ba2e791199cc6293f8abf411fa386,2017-07-09 10:29:21,2017-07-13 10:43:39,2017-07-14 17:51:47,5.307245370370371,138.9,Late,-29.788969202053366,-51.86180046016178,95860
b664b3e09fd91f223359961e284bee21,2017-11-19 16:38:23,2017-11-28 16:50:27,2017-12-01 22:38:29,12.250069444444444,150.0,Late,-22.90246669276925,-43.103782871342936,24220
2f839b79d9954ebfedeeba654f0f3de8,2018-03-26 14:40:10,2018-04-03 14:50:21,2018-03-29 22:56:31,3.3446875,7.0,In Time,-23.683992202060082,-46.57777819637593,9892
e996c39018a2d8a9e46fbbbbb10ee3a7,2018-01-20 18:15:12,2018-01-25 18:31:08,2018-01-30 19:56:23,10.070266203703703,45.9,Late,-21.76074911573089,-43.347217337497824,36010
ef6a08eb361817fe2908f1553b5d00f1,2018-05-02 08:59:16,2018-05-08 09:14:57,2018-05-03 19:51:56,1.4532407407407408,107.7,Quick,-23.594795412718522,-46.624647766720535,4116
e4c9031df14928b20f99e53c11d6e1d4,2018-07-11 09:02:55,2018-07-13 09:15:20,2018-07-12 20:32:20,1.478761574074074,27.9,Quick,-23.647538568176362,-46.64912936441751,4349
dde867f83e689b0167785b684ab311cd,2017-10-16 14:29:26,2017-10-20 14:50:12,2017-10-25 09:42:40,8.800856481481482,4.5,Late,-24.296760733279466,-46.96695942423105,11750
bf3358fdaf47c7a9abf288008dc1ec59,2018-02-02 12:19:42,2018-02-08 12:31:40,2018-02-07 20:33:46,5.343101851851852,108.0,In Time,-22.986595721305584,-43.45690390795798,22783
