order_id,order_purchase_timestamp,shipping_limit_date,order_delivered_customer_date,total_delivery_time_days,price,delivery_status,customer_zip_code_prefix
c5a2bd922645770b148755d89a577853,2018-08-10 10:02:39,2018-08-14 02:44:35,2018-08-30 16:18:30,20.261006944444443,199.08,Late,22793
aef2bc3845eb581cecce74b769d46c6a,2017-09-22 17:41:49,2017-10-03 22:50:12,2017-10-13 14:33:15,20.869050925925926,99.98,Late,3984
4dac0c9aec5f460f203ce439f8af0f8c,2018-05-07 23:49:04,2018-05-15 03:55:20,2018-05-23 17:38:39,15.742766203703704,19.9,Late,92120
903103f3e4c9dfb4fd9224fd0f43d950,2017-12-18 15:48:07,2017-12-22 17:13:28,2018-01-03 20:58:47,16.215740740740742,109.97,Late,22790
38aae594eaee5a2935d397fd93ca43c9,2018-01-02 15:23:19,2018-01-08 15:30:25,2018-01-29 18:18:51,27.121898148148148,54.9,Late,21331
916c4f6b4d3cf3e78ebbf5c6b7e20dbd,2017-09-21 20:13:55,2017-09-27 20:25:18,2017-10-03 20:43:11,12.020324074074074,59.9,Late,38703
15a31c39dee81bc534abff1f9b5ec6c2,2017-07-06 22:31:19,2017-07-13 22:45:11,2017-07-25 20:49:39,18.92939814814815,49.99,Late,55195
18d4a7100f31e670cfebe0dce5a2d844,2018-08-01 14:24:10,2018-08-06 03:05:12,2018-08-08 20:22:50,7.249074074074074,49.9,Late,5861
fb239dec6971179d84f8ad7b5f5308d8,2017-02-11 10:56:36,2017-02-15 10:56:36,2017-02-16 14:08:52,5.133518518518518,109.99,Late,21060
5fc25db83662b2660bd61440ba3ec9b8,2018-07-31 14:50:52,2018-08-02 15:44:29,2018-08-06 16:41:40,6.076944444444444,137.0,Late,91900
64687fa34e8e3ccaf7856911061aad72,2018-01-10 15:46:37,2018-01-17 03:09:07,2018-01-26 16:49:00,16.04332175925926,48.0,Late,27700
09be8ba0b5c0e3195ef77302707a192f,2018-07-01 22:16:18,2018-07-05 22:30:13,2018-07-06 18:08:35,4.827974537037037,150.0,Late,37550
1b1f5c0333fae3e7b4b4670d2cc3c0ac,2017-11-06 20:30:25,2017-11-13 18:30:34,2017-11-20 18:58:41,13.936296296296296,38.9,Late,36240
f94bda0cb228bd681dac3cce1fb69584,2017-06-28 11:58:45,2017-07-04 12:10:14,2017-07-07 18:03:14,9.253113425925926,118.99,Late,37550
40f8df5351ca042862168f31bd853103,2018-03-07 21:31:17,2018-03-19 14:08:22,2018-03-22 14:44:47,14.717708333333333,349.9,Late,45028
93b94a19e5546ce4eac9c4eac62f5465,2017-07-10 20:07:27,2017-07-17 06:43:43,2017-08-10 20:17:55,31.00726851851852,149.99,Late,25510
2d856083b0b7c9f8a7bd4f59986eafec,2018-08-12 20:53:01,2018-08-14 21:05:09,2018-08-20 20:51:20,7.998831018518518,98.0,Late,13087
8fda82d5d041f776798e037d6628bd89,2018-01-22 21:10:36,2018-01-29 21:20:16,2018-02-06 22:05:21,15.038020833333333,89.8,Late,31540
c4e736f668cbfe837a8f4718225b402b,2017-10-01 21:06:02,2017-10-05 21:24:06,2017-10-10 21:10:42,9.003240740740742,55.6,Late,4416
cb80c358a1e10aa7f1d55a1739720ea7,2018-07-21 13:53:42,2018-08-01 14:05:11,2018-08-07 16:46:27,17.119965277777776,25.99,Late,35400
834545a0dc30bbf519e4d9c697eca0a1,2018-07-04 18:50:37,2018-07-06 19:31:02,2018-07-10 20:42:26,6.077650462962963,40.0,Late,84015
ccd6897360ebcf9ce2afc0406f25c49d,2017-12-08 08:41:48,2017-12-14 08:50:32,2017-12-26 17:56:02,18.38488425925926,65.6,Late,90220
7ab9c107206e507460e083e2f1400b74,2017-09-22 18:58:41,2017-09-28 19:05:40,2017-10-02 15:39:01,9.861342592592592,246.62,Late,30575
7e4583a135b2fd828ba6ec2c4b5ab034,2017-11-27 17:41:25,2017-12-05 02:18:25,2017-12-16 18:43:24,19.043043981481482,153.0,Late,52020
e5529743a1c280328cb7fa14a08b69dc,2017-08-22 12:09:09,2017-08-28 12:26:31,2017-09-06 16:43:16,15.190358796296296,22.5,Late,39530
ee35bdc3d877400fe1f81cf038e84840,2017-12-06 11:12:04,2017-12-12 11:31:07,2017-12-16 16:52:47,10.236608796296297,89.9,Late,15910
0e069a67e95068b8613f728bac35f6cc,2018-02-10 15:45:25,2018-02-20 14:55:30,2018-03-01 01:16:53,18.396851851851853,39.99,Late,46900
49153487110cdea2e59215a536aff73b,2018-01-30 19:41:32,2018-02-07 19:55:31,2018-02-07 23:47:30,8.170810185185186,56.0,Late,31160
431e57fb445e35e908a2d4867bfc9b27,2017-07-18 22:26:53,2017-07-24 22:43:13,2017-07-26 22:49:51,8.015949074074074,79.95,Late,22793
aa73e81062a62cb7834b770ff58ff6b8,2018-05-12 09:33:46,2018-05-16 09:30:53,2018-06-04 20:37:35,23.460983796296297,299.0,Late,78635
e051aa19f5f2e6a98406c005cf5c656b,2018-07-12 19:55:55,2018-07-17 08:30:12,2018-07-16 15:32:20,3.8169560185185185,88.9,In Time,90040
9bbba0c7c0a72b2fad487f353aa9af07,2018-02-27 20:10:28,2018-03-06 20:08:24,2018-03-09 17:14:48,9.87800925925926,138.0,Late,22471
2353c3b67536350ec12490aaa0b01c39,2018-06-13 11:31:18,2018-06-15 11:55:10,2018-06-15 13:17:02,2.073425925925926,95.0,Late,7072
e9d187b8dc64f35026cf54590f38f6df,2018-02-17 15:17:10,2018-03-02 07:27:19,2018-03-14 20:24:55,25.213715277777776,86.0,Late,35900
c14280403027095676ce13109d5e2864,2018-03-17 16:38:49,2018-03-23 07:28:21,2018-04-16 22:22:55,30.238958333333333,467.0,Late,96065
f94e7fe62953e889ccdc4af045dbe8f0,2018-05-29 13:14:02,2018-06-06 03:30:41,2018-06-08 21:11:56,10.331875,94.0,Late,39403
81edaf58687cb71cecc077db78dd57ec,2018-06-16 22:50:20,2018-06-21 22:58:54,2018-06-25 20:58:40,8.922453703703704,56.1,Late,24240
c0c6ffffde824ef615117d191bb55aea,2018-03-13 11:10:49,2018-03-19 11:30:30,2018-03-23 20:46:34,10.399826388888888,299.99,Late,86050
